a,noun
a,preposition
a,prefix
a,verb
a,preposition
a,determiner
about,adverb
above,preposition
ache,verb
ad,noun
after,preposition
all,adjective
am,verb
am,verb
an,determiner
an,preposition
and,conjunction
and,conjunction
and,conjunction
and,conjunction
apparatus,noun
are,verb
are,verb
arm,noun
as,conjunction
as,adverb
as,preposition
as,adverb
ask,verb
at,preposition
at,preposition
at,preposition
away,adverb
bare,adjective
be,verb
beat,verb
beauty,noun
bed,noun
beneath,preposition
bitter,adjective
black,noun
blood,noun
blow,verb
blue,noun
boil,verb
boy,noun
breast,noun
but,conjunction
but,conjunction
but,adverb
but,preposition
butt,noun
by,adverb
by,preposition
can,verb
chant,verb
chocolate,noun
cool,adjective
could,verb 
crush,verb
cry,verb
d,prefix
day,noun
death,noun
delirious,adjective
diamond,noun
did,verb
do,verb
do,verb
dream,noun
dress,verb
drive,verb
drool,verb
drunk,adjective
eat,verb
ed,postfix
ed,postfix
ed,postfix
ed,postfix
egg,noun
elaborate,verb
enormous,adjective
er,postfix
es,postfix
est,postfix
fast,adjective
feet,noun
fiddle,noun
finger,noun
fluff,verb 
for,preposition
forest,noun
frantic,adjective
friend,noun
from,preposition
from,preposition
garden,noun
girl,noun
go,verb
goddess,noun
gorgeous,adjective
gown,noun
hair,noun
has,verb
have,verb 
have,verb
he,pronoun
he,pronoun
head,noun
heave,verb
her,pronoun
her,pronoun
here,adverb
him,pronoun
his,adjective
his,adjective
honey,noun
hot,adjective
how,adverb
I,pronoun
I,pronoun
I,pronoun
I,pronoun
if,conjunction
in,preposition
in,adverb
in,preposition
ing,postfix
ing,postfix
ing,postfix
ing,postfix
ing,postfix
ing,postfix
is,verb
is,verb
is,verb
is,verb
is,verb
it,pronoun
it,pronoun
it,pronoun
juice,noun
lake,noun
language,noun
languid,adjective
lather,noun
lazy,adjective
less,adverb
let,verb
lick,verb
lie ,verb
life ,noun
light,noun
like,verb
like,preposition
like,adjective
live,verb
love,noun
luscious,adjective
lust,noun
ly,postfix
ly,postfix
ly,postfix
ly,postfix
mad,adjective
man,noun
me,pronoun
me,pronoun
me,pronoun
mean,verb
meat,noun
men,noun
milk,noun
mist,noun
moan,verb
moon,noun
mother,noun
music,noun
must,verb
my,adjective
my,adjective
my,adjective
need,verb
never,adverb
no,adverb
no,adjective
not,adverb
not,adverb
of,preposition
of,preposition
of,preposition
of,preposition
on,preposition
on,adverb
one,noun
or,conjunction
our,adjective
over,adverb
pant,noun
peach,noun
petal,noun
picture,noun
pink,noun
play,verb
please,verb
pole,noun
pound,noun
puppy,noun
purple,noun
put,verb
r,noun
r,noun
rain,noun
raw,adjective
recall,verb
red,adjective
repulsive,adjective
rip,verb
rock,noun
rose,noun
run,verb
rust,noun
s,noun
s,noun
s,postfix
s,postfix
s,postfix
s ,postfix 
s,postfix
s,postfix
s,postfix
s,postfix
s,postfix
sad,adjective
said,verb
sausage,noun
say,verb
scream,verb
sea,noun
see,verb
shadow,noun
she,pronoun
she ,pronoun
shine,verb
ship,noun
shot,verb
show,verb
sing,verb
sit,verb
skin,noun
sky,noun
sleep,verb
smear,verb
smell,verb
smooth,adjective
so,adverb
soar,verb
some,pronoun
sordid,adjective
spray,verb
spring,noun
still,adverb
stop,verb
storm,noun
suit,verb
summer,noun
sun,noun
sweat,verb
sweet,adjective
swim,verb
symphony,noun
the,determiner
the,adverb
the,preposition 
the,determiner
the,determiner
their,adjective
there,adverb
these,pronoun
they,pronoun
those,pronoun
though,conjunction
thousand,noun
through,preposition
time,noun
tiny,adjective
to,prefix
to,adverb
to,preposition
together,adverb 
tongue,noun
trudge,verb
TV,noun
ugly,adjective
up,adverb
urge,verb
us,pronoun
use,verb
want,noun
want,verb
was,verb
watch,verb
water,noun
wax,noun
we,pronoun
we,pronoun
were,verb
what,pronoun
when,adverb
whisper,verb
who,pronoun
why,adverb
will,verb
wind,noun
with,preposition
with,preposition
woman,noun
worship,verb
y,noun
y,noun 
y,noun
y,noun
yet,conjunction
you,pronoun
you,pronoun
you,pronoun
you,pronoun
